Tanggal (GMT),Lintang (°),Bujur (°),Kedalaman (km),Magnitudo (SR)
2020-02-14 23:41:47,0.52,126.3998,10,3.34
2020-02-14 23:35:22,-10.26,120.30424,10,3.42
2020-02-14 22:44:34,-7.79,107.28011,24.4,2.89
2020-02-14 22:32:54,-2.93,122.38107,10,3.07
2020-02-14 22:26:42,-8.87,110.27815,10,3.09
2020-02-14 22:08:11,-9,118.41928,76.2,3.93
2020-02-14 21:44:20,-6.05,127.78609,353.7,4.51
2020-02-14 20:49:43,-7.65,105.79016,13.7,3.08
2020-02-14 20:14:50,-2.93,119.37782,10,3.23
2020-02-14 19:54:03,-6.68,129.88815,188.4,4.63
2020-02-14 19:51:59,-3.61,128.33267,10,2.53
2020-02-14 19:25:18,-2.66,126.8731,10,3.26
2020-02-14 19:17:21,-2.75,129.93227,13.5,2.73
2020-02-14 19:10:03,-9.05,111.30105,10.1,3.36
2020-02-14 17:10:15,-0.26,122.9634,41.7,3.87
2020-02-14 17:03:43,-0.04,123.18301,140.5,4.35
2020-02-14 12:25:30,-1.47,134.11148,10,3.72
2020-02-14 12:14:44,-3.57,127.18662,10,3.97
2020-02-14 12:04:46,-7.54,111.93909,12.1,2.57
2020-02-14 11:33:27,-8.01,120.41722,10.1,2.59
2020-02-14 11:26:29,-3.67,139.9715,19.5,4.3
2020-02-14 11:20:15,-0.55,122.31393,10,3.07
2020-02-14 11:18:49,-7.8,112.0004,10,2.22
2020-02-14 10:59:07,-3.41,128.39467,10,2.77
2020-02-14 09:59:53,-3.42,128.4095,10,2.65
2020-02-14 09:22:34,-8.35,115.97582,10,3.29
2020-02-14 08:15:49,-9.12,114.50306,66.8,3.17
2020-02-14 08:12:03,-7.7,111.95853,10,3.02
2020-02-14 07:55:04,-7.68,111.98964,10,3.93
2020-02-14 06:24:00,-2.31,101.08521,52.8,2.92
2020-02-14 05:26:18,-9.85,118.90482,10,2.46
2020-02-14 05:23:54,-3.41,128.55952,10,2.72
2020-02-14 04:02:17,-2.81,129.92677,10,3.27
2020-02-14 03:50:05,-3.35,127.45518,26.3,2.46
2020-02-14 03:34:23,-3.59,128.38321,10,2.27
2020-02-14 03:18:13,-7.48,129.45808,164,4.54
2020-02-14 02:54:11,-2.64,126.83115,10,3.92
2020-02-14 02:27:41,-8.32,115.97462,10,3.07
2020-02-14 02:06:02,-4.72,102.65769,18,2.77
2020-02-14 01:47:58,-4.54,102.76099,37.4,4.55
2020-02-14 01:27:43,-7.16,107.31712,185.5,3.31
